class_id,class_name,object_count,tiny_count,tiny_fraction,small_count,small_fraction,medium_count,medium_fraction,large_count,large_fraction
0,person,5548,1915,0.3451694304253785,1618,0.2916366258111031,1534,0.2764960346070656,481,0.08669790915645277
1,boat,135,30,0.2222222222222222,35,0.25925925925925924,47,0.34814814814814815,23,0.17037037037037037
2,animal,3020,498,0.16490066225165562,1186,0.3927152317880795,1091,0.3612582781456954,245,0.08112582781456953
3,seat,641,29,0.0452418096723869,131,0.20436817472698907,299,0.4664586583463339,182,0.2839313572542902
4,sign,788,260,0.3299492385786802,270,0.3426395939086294,216,0.27411167512690354,42,0.0532994923857868
5,bicycle,666,294,0.44144144144144143,176,0.26426426426426425,153,0.22972972972972974,43,0.06456456456456457
6,car,1949,366,0.18778860954335558,1082,0.5551564905079528,422,0.21652129297075423,79,0.040533606977937404
7,ball,95,62,0.6526315789473685,24,0.25263157894736843,9,0.09473684210526316,0,0.0
8,light,1835,211,0.11498637602179837,609,0.33188010899182563,949,0.5171662125340599,66,0.03596730245231607
9,garbage can,282,71,0.25177304964539005,85,0.30141843971631205,108,0.3829787234042553,18,0.06382978723404255
10,uav,208,41,0.1971153846153846,107,0.5144230769230769,60,0.28846153846153844,0,0.0
11,tricycle,27,1,0.037037037037037035,4,0.14814814814814814,11,0.4074074074074074,11,0.4074074074074074
